Team,ScoreDescending,Overs,RPO,Lead,Inns,Result,Opposition,Ground,Start Date,Declared,Wickets
West Indies,579,172.33333333333334,3.35,579,1,draw,Pakistan,Bridgetown,1958-01-17,1,9
Pakistan,579,155.5,3.72,579,1,won,West Indies,Dubai (DSC),2016-10-13,1,3
Pakistan,579,155.5,3.72,-78,2,lost,England,Rawalpindi,2022-12-01,0,10
Australia,578,126.33333333333333,4.57,701,3,won,South Africa,Melbourne,1911-02-17,0,10
New Zealand,578,157.5,3.66,296,2,draw,Sri Lanka,Wellington,2018-12-15,0,10
England,578,190.16666666666666,3.03,578,1,won,India,Chennai,2021-02-05,0,10
England,577,181.33333333333334,3.18,292,2,won,Australia,Sydney,1903-12-11,0,10
Sri Lanka,577,135.83333333333334,4.24,488,2,won,Bangladesh,Colombo (SSC),2007-06-25,1,6
Australia,577,179.5,3.21,-36,2,draw,India,Delhi,2008-10-29,0,10
England,576,,3.56,576,1,draw,Australia,The Oval,1899-08-14,0,10
West Indies,576,206.16666666666666,2.79,264,2,draw,India,Kingston,1953-03-28,0,10
Australia,576,129.66666666666666,4.44,282,2,won,England,Birmingham,2001-07-05,0,10
Australia,576,132.83333333333334,4.33,576,1,won,West Indies,Port of Spain,2003-04-19,1,4
New Zealand,576,166.83333333333334,3.45,412,2,won,Zimbabwe,Bulawayo,2016-07-28,1,6
Pakistan,576,134.0,4.29,410,2,won,Sri Lanka,Colombo (SSC),2023-07-24,1,5
Australia,575,,3.36,575,1,won,India,Melbourne,1948-02-06,1,8
Australia,575,139.16666666666666,4.13,208,2,won,Pakistan,Brisbane,1999-11-05,0,10
Australia,575,155.33333333333334,3.7,575,1,won,New Zealand,Adelaide,2004-11-26,1,8
England,575,130.5,4.4,575,1,draw,Sri Lanka,Lord's,2014-06-12,1,9
Australia,575,145.0,3.96,386,2,won,South Africa,Melbourne,2022-12-26,1,8
Pakistan,574,,3.45,133,2,lost,Australia,Melbourne,1972-12-29,1,8
Australia,574,170.83333333333334,3.36,574,1,tied,India,Chennai,1986-09-18,1,7
England,574,170.0,3.37,231,2,won,South Africa,Durban,2009-12-26,1,9
India,574,129.33333333333334,4.43,574,1,won,Sri Lanka,Mohali,2022-03-04,1,8
Australia,573,214.33333333333334,2.67,573,1,won,England,Adelaide,1898-01-14,0,10
West Indies,573,212.0,2.7,-77,2,draw,Australia,Bridgetown,1965-05-05,0,10
South Africa,573,120.0,4.77,573,1,won,Bangladesh,Bloemfontein,2017-10-06,1,4
South Africa,572,209.33333333333334,2.73,362,3,draw,England,Durban,1999-12-26,0,7
India,572,154.5,3.7,192,2,won,Australia,Chennai,2013-02-22,0,10
Australia,572,152.5,3.75,572,1,draw,India,Sydney,2015-01-06,1,7
England,571,142.0,4.02,368,2,draw,India,Manchester,1936-07-25,1,8
Pakistan,571,210.0,2.71,95,2,draw,New Zealand,Christchurch,2001-03-15,1,8
India,571,178.83333333333334,3.19,91,2,draw,Australia,Ahmedabad,2023-03-09,0,10
India,570,184.83333333333334,3.08,283,2,won,Zimbabwe,Nagpur,2002-02-21,1,7
